zip,donations,total,total_population,donations_per_1000
20886,16207,362243.20999999874,34887,464.55699830882565
20887,32,455,NA,NA
20889,2,28,NA,NA
20892,5,500,NA,NA
20893,39,539,NA,NA
20894,13,230,NA,NA
20895,26497,1347975.3600000064,18930,1399.7358689910195
20896,1962,161566.2600000002,792,2477.272727272727
20897,9,58,NA,NA
20898,42,481.23,NA,NA
20899,30,3050,284,105.63380281690141
20901,42989,1309525.8700000062,36802,1168.1158632683007
20902,29875,1073108.0000000023,52752,566.3292387018502
20903,6587,250580.09999999992,26951,244.40651552818076
20904,41324,1477418.6700000064,55856,739.8309939845317
20905,12733,509001.05000000366,18590,684.9381387842926
20906,54095,1138991.140000007,70441,767.9476441277096
20907,244,4264.09,NA,NA
20908,26,583,NA,NA
20910,60712,2979373.470000009,43729,1388.3692743945667
20911,104,1824.23,NA,NA
20912,38778,1936275.0900000038,25118,1543.8331077315072
20913,335,55972.77,NA,NA
20914,309,7685.58,NA,NA
20915,29,3230,NA,NA
20916,797,5998.530000000001,NA,NA
20917,23,1278.1100000000001,NA,NA
20918,9,326,NA,NA
20919,5,22,NA,NA
20920,37,1202.4000000000005,NA,NA
20922,1,250,NA,NA
20923,16,527.75,NA,NA
20925,3,150,NA,NA
20932,10,172,NA,NA
20939,24,152,NA,NA
20941,1,25,NA,NA
20950,294,5786.439999999999,NA,NA
20952,11,148,NA,NA
20953,258,5330.93,NA,NA
20954,129,1389.7999999999993,NA,NA
20960,3,215,NA,NA
20966,1,10,NA,NA
20971,8,101.17,NA,NA
20972,1,69.96,NA,NA
20974,19,2103,NA,NA
20976,1,10,NA,NA
20977,1,100,NA,NA
20978,18,547.8199999999999,NA,NA
20979,3,17,NA,NA
20984,1,10,NA,NA
20985,2,105,NA,NA
20986,16,98,NA,NA
20991,128,1591.3000000000002,NA,NA
20992,33,642,NA,NA
20993,1,100,NA,NA
20994,21,895,NA,NA
20995,10,287.20000000000005,NA,NA
20996,31,991.7200000000001,NA,NA
20997,4,30,NA,NA
21001,9185,126335.17999999996,24959,368.00352578228296
21002,4,79,NA,NA
21005,1513,7449.8,2724,555.4331864904552
21006,2,50,NA,NA
21008,6,185,NA,NA
21009,5538,94785.23000000003,31683,174.79405359340973
21010,1196,18019.26,329,3635.2583586626142
21012,11344,448162.7999999995,22746,498.72505055833994
21013,1809,42460.45999999997,5157,350.7853403141361
21014,9571,216782.57000000024,35668,268.33576314904116
21015,7969,198034.80999999962,28975,275.030198446937
21016,18,163.71999999999997,NA,NA
21017,1139,18434.399999999998,6034,188.7636725223732
21018,1,25,NA,NA
21019,4,675,NA,NA
21020,38,527,NA,NA
21021,2,105,NA,NA
21022,147,3757.27,NA,NA
21023,188,7414.900000000003,NA,NA
21024,4,140,NA,NA
21025,4,255,NA,NA
21027,8,300,NA,NA
21028,777,21243.45,2609,297.81525488692984
21029,5070,334097.21000000037,11523,439.9895860453007
21030,9939,375350.1199999992,24152,411.5187148062272
21031,10,589.24,26,384.61538461538464
21032,5033,231805.08000000002,7787,646.3336329780403
21033,43,1582,NA,NA
21034,608,23530.29,3178,191.31529263687855
21035,6200,200449.85000000024,8315,745.640408899579
21036,1189,69995.87,2243,530.0936246098975
21037,9471,376584.1499999987,21134,448.14043721018265
21039,9,822,NA,NA
21040,2305,33320.56,24717,93.25565400331755
21041,132,2730.9100000000003,NA,NA
21042,28455,1050627.5999999992,42157,674.9768721683231
21043,20844,686790.2499999983,46747,445.8895758016557
21044,44569,1337506.6200000034,45741,974.3774731641197
21045,30660,803755.2300000013,40265,761.4553582515833
21046,11234,309389.19999999896,15597,720.2667179585818
21047,2633,69101.56999999999,12629,208.48839971494178
21048,2073,66157.87999999996,9719,213.29354871900404
21049,1,3,NA,NA
21050,3563,70752.11000000012,17846,199.65258321192425
21051,461,25766.14,231,1995.6709956709958
21052,16,551,179,89.3854748603352
21053,776,14091.339999999998,3134,247.60689215060626
21054,5833,159548.24000000028,11697,498.67487389929045
21055,1,500,NA,NA
21056,98,38413,333,294.2942942942943
21057,2464,65720.03000000001,4109,599.6592844974447
21059,10,56,NA,NA
21060,14209,173872.13999999993,36049,394.15795167688424
21061,10219,168692.45000000004,55020,185.7324609233006
21062,126,856.5,NA,NA
21064,32,688,NA,NA
21065,1,100,NA,NA
21067,1,100,NA,NA
21069,15,126,NA,NA
21071,287,8471.130000000001,454,632.1585903083701
21073,2,20,NA,NA
21074,2983,55540.70000000002,14933,199.7589231902498
21075,8984,224807.71000000034,34939,257.13386187355104
21076,6352,235382.90000000017,17947,353.9310191118293
21077,85,1464.38,235,361.7021276595745
21078,7808,212588.47000000055,18957,411.87951680118164
21079,3,175,NA,NA
21080,2,20,NA,NA
21082,459,13343.93,608,754.9342105263158
21083,10,275,NA,NA
21084,1638,29954.660000000033,7670,213.5593220338983
21085,2745,55980.65999999996,16318,168.2191445030028
21086,3,87,NA,NA
21087,656,20466.260000000002,5437,120.6547728526761
2109,2,105,NA,NA
21090,1933,50232.640000000036,9715,198.97066392177047
21092,4,74.96000000000001,NA,NA
21093,22218,633944.1899999967,38245,580.9386847953981
21094,40,17794.12,NA,NA
21096,2,100,NA,NA
21099,3,50,NA,NA
21101,72,1499.5600000000002,NA,NA
21102,3317,51923.16000000006,12043,275.4297102050984
21103,2,11,NA,NA
21104,4210,99374.20000000013,6029,698.2915906452148
21105,28,267,0,Inf
21106,26,1213.24,NA,NA
21107,2,35,NA,NA
21108,6603,220072.78000000006,19136,345.0564381270903
21109,1,40.48,NA,NA
21111,3969,93046.8800000003,5343,742.841100505334
21112,1,25,NA,NA
21113,16279,444059.96000000014,35210,462.34024424879294
21114,8848,236144.47000000044,26460,334.3915343915344
21115,5,108,NA,NA
21116,21,1380.24,NA,NA
21117,23052,657696.399999998,59663,386.37011212979564
21118,6,123,NA,NA
21120,2596,77234.65999999997,6775,383.1734317343173
21121,2,53,NA,NA
21122,9609,221055.7499999993,59664,161.0518905872888
21123,59,1086.3700000000001,NA,NA
21124,3,240,NA,NA
21127,7,283,NA,NA
21128,1908,49255.929999999986,13967,136.60771819288323
21130,7,225,104,67.3076923076923
21131,2873,130327.89000000013,7587,378.6740477131936
21132,185,6295.84,3162,58.50727387729285
21133,8682,146954.52000000025,32714,265.39096411322373
21134,21,552,NA,NA
21135,1,100,NA,NA
21136,11483,323548.850000002,34347,334.32323055870967
21137,2,20,NA,NA
21139,580,10016.789999999997,NA,NA
21140,1294,55152.62999999996,3862,335.0595546349042
21143,3,210,NA,NA
21144,11718,222529.8500000001,35680,328.4192825112108
21145,1,50,NA,NA
21146,13148,487095.9399999995,27634,475.79069262502713
21147,16,344.63,NA,NA
21149,1,7.71,NA,NA
21150,45,748,NA,NA
21152,1796,80268.00000000007,5349,335.76369414843896
21153,1329,41921.91000000001,348,3818.9655172413795
21154,568,14000.14,6467,87.83052419978351
21155,578,15340.34,2363,244.6043165467626
21156,40,1304.9999999999998,371,107.8167115902965
21157,8691,202460.4400000002,38714,224.4924316784626
21158,4343,99560.21000000004,20773,209.06946517113562
21160,285,5854.12,2615,108.98661567877629
21161,1036,26816.29999999997,5738,180.55071453468108
21162,705,11934.46,4089,172.41379310344828
21163,4816,171400.08000000005,6602,729.475916388973
21164,1,100,NA,NA
21171,8,80,NA,NA
21173,1,1000,NA,NA
21174,33,228,NA,NA
21176,2,55,NA,NA
21200,22,110,NA,NA
21201,6643,366729.6200000009,17534,378.8639215238964
21202,6148,382084.85000000085,21880,280.9872029250457
21203,167,7428.41,NA,NA
21204,12273,511605.4999999996,21518,570.359698856771
21205,1021,23248.110000000015,15900,64.21383647798743
21206,6518,111044.21999999999,51670,126.14670021288948
21207,13152,198563.10000000015,50440,260.74544012688347
21208,21511,700900.8699999987,35273,609.8432228616789
21209,26774,644100.539999995,28621,935.4669648160442
21210,25454,1443604.7700000436,16076,1583.3540681761633
21211,13357,433904.2699999998,15735,848.8719415316174
21212,25556,1146181.100000002,33865,754.6434371770264
21213,3715,75637.8300000001,30596,121.42110079748987
21214,7525,156481.40000000066,21666,347.318379027047
21215,10084,148706.3900000006,55081,183.07583377208113
21216,3837,59446.779999999984,28733,133.53983224863399
21217,6787,338081.31999999844,32830,206.73164788303382
21218,31378,1018091.8099999998,46172,679.589361517803
21219,1232,28739.510000000017,9454,130.31521049291305
21220,3341,75693.55000000031,41067,81.35485913263692
21221,3250,65432.59999999995,41899,77.56748371082841
21222,3776,62814.889999999956,56946,66.30843255013522
21223,1598,27742.830000000005,21974,72.72230818239737
21224,12042,379731.17999999964,48770,246.91408652860363
21225,2446,27074.09999999997,33227,73.61483131188491
21226,636,12090.19,6699,94.93954321540528
21227,4190,96694.33000000005,33396,125.46412744041203
21228,26381,597323.7399999986,49438,533.617864800356
21229,8355,157636.48000000007,45983,181.69758388969836
21230,13266,623503.7299999964,33592,394.9154560609669
21231,7981,281612.8999999996,15906,501.7603420093046
21232,12,414.4,NA,NA
21233,28,238,NA,NA
21234,12937,250143.7600000003,68678,188.37182212644515
21235,13,268,NA,NA
21236,5621,122992.59000000026,37803,148.6919027590403
21237,3793,79481.20000000007,31105,121.94180999839254
21238,13,734,NA,NA
21239,11716,161538.66000000044,30143,388.68062236671864
21240,14,522,0,Inf
21241,1,25,NA,NA
21243,10,168,NA,NA
21244,9590,141657.7900000002,36897,259.91273003225194
21245,19,176,NA,NA
21246,26,1031,NA,NA
21249,3,22,NA,NA
21250,5,206,2443,2.046663937781416
21251,9,134,1652,5.447941888619854
21252,9,120,2040,4.411764705882353
21253,1,100,NA,NA
21255,1,5,NA,NA
21257,55,1454.5,NA,NA
21261,12,135,NA,NA
21262,2,45,NA,NA
21265,3,1000,NA,NA
21271,2,12,NA,NA
21275,1,100,NA,NA
21281,1,10,NA,NA
21282,274,5933.99,NA,NA
21284,171,3867.14,NA,NA
21285,3,650,NA,NA
21286,12808,415242.91999999946,19711,649.7894576632337
21287,33,1663,NA,NA
21288,1,25,NA,NA
2129,2,12,NA,NA
21291,3,300,NA,NA
21294,2,100,NA,NA
21296,15,335.5,NA,NA
21297,8,122,NA,NA
21298,1,100,NA,NA
21299,2,105,NA,NA
2130,4,163.31,NA,NA
21301,12,230,NA,NA
21302,15,525,NA,NA
21303,10,464.65999999999997,NA,NA
21304,97,1173.9400000000003,NA,NA
21305,1,100,NA,NA
21306,9,73,NA,NA
21307,7,55,NA,NA
21308,5,103,NA,NA
21309,3,70,NA,NA
21310,7,120.62,NA,NA
21311,2,34.17,NA,NA
21312,3,210,NA,NA
21315,5,57,NA,NA
21316,3,125,NA,NA
21317,3,33,NA,NA
21318,81,2430.24,NA,NA
21320,9,728.15,NA,NA
21323,2,14.38,NA,NA
21328,20,300,NA,NA
21330,1,50,NA,NA
21331,2,80,NA,NA
21332,2,29,NA,NA
21334,13,63,NA,NA
21336,4,140,NA,NA
2134,1,100,NA,NA
21344,2,25,NA,NA
21346,2,29,NA,NA
21386,3,170,NA,NA
21401,36733,1649639.400000007,38788,947.0196968134475
21402,172,9181.1,6460,26.625386996904027
21403,25115,1333098.2500000054,31218,804.5038119033891
21404,217,8654.399999999998,NA,NA
21405,1726,51961.95999999998,398,4336.683417085427
21406,5,850,NA,NA
21407,1,1010,NA,NA
21408,135,263,NA,NA
21409,11407,445531.4299999982,19304,590.9138002486532
21410,2,100,NA,NA
21412,6,91.07,NA,NA
21428,21,210,NA,NA
21430,1,40,NA,NA
21442,1,150,NA,NA
21491,22,660,NA,NA
21493,6,133,NA,NA
21498,3,130,NA,NA
21501,45,625,NA,NA
21502,7293,116830.50000000042,41735,174.74541751527494
21503,18,648.06,NA,NA
21504,2,50,NA,NA
21509,17,970,NA,NA
2152,1,25,NA,NA
21520,197,8828.130000000001,2003,98.3524712930604
21521,53,890.1600000000001,1183,44.80135249366018
21523,6,46,180,33.333333333333336
21524,5,7,831,6.016847172081829
21529,33,886,467,70.66381156316918
21530,475,11216.91,1923,247.00988039521582
21531,191,4804.52,1744,109.5183486238532
21532,1754,43536.08000000003,14498,120.982204441992
21533,3,55.239999999999995,NA,NA
21536,466,10208.630000000001,3984,116.96787148594377
21538,17,85,525,32.38095238095238
21539,28,785.4200000000001,2664,10.510510510510512
21540,1,56.18,90,11.11111111111111
21541,381,19362.08,1536,248.046875
21545,55,972.24,1771,31.055900621118013
21550,1946,54859.00000000003,14327,135.82745864451735
21555,229,5493.5,1501,152.5649566955363
21557,71,1640.1999999999998,1592,44.597989949748744
21560,8,127.17,NA,NA
21561,752,17515.689999999995,2392,314.38127090301003
21562,202,2810.76,3426,58.96088733216579
21565,2,8,NA,NA
21574,3,110,NA,NA
21591,1,1,NA,NA
21592,5,63,NA,NA
21601,15791,628699.1599999968,23338,676.6218184934442
21602,26,529,NA,NA
21604,1,25,NA,NA
21607,2,350,770,2.5974025974025974
21610,279,3615.8,412,677.1844660194175
21612,232,8710.380000000001,597,388.60971524288107
21613,3942,120616.02999999994,17115,230.3242769500438
21614,1,17,NA,NA
21615,2,12,NA,NA
21617,3054,57825.34999999997,10534,289.91835959749386
21618,2,30,NA,NA
21619,3573,96216.21999999994,5789,617.2050440490585
21620,7513,422426.1699999993,12989,578.4125028870583
21622,17,546.72,704,24.147727272727273
21623,282,7916.639999999999,2248,125.44483985765126
21624,164,8929.2,115,1426.086956521739
21625,258,8292.2,2401,107.45522698875469
21627,4,28,4,1000
21628,119,2211.88,324,367.28395061728395
21629,1206,24259.210000000006,9464,127.43026204564667
21631,94,3551.46,2708,34.711964549483014
21632,758,8827.550000000001,5885,128.8020390824129
21635,611,12718.539999999997,1970,310.1522842639594
21636,58,1112,837,69.29510155316606
21638,1114,33617.01,5227,213.12416299980868
21639,559,10110.96,5410,103.3271719038817
21640,141,3286.5,1467,96.11451942740285
21641,17,197,87,195.40229885057474
21643,740,13598.149999999998,5956,124.24445936870383
21645,196,5711.840000000006,1345,145.724907063197
21647,635,15435.859999999997,357,1778.7114845938374
21648,4,240,126,31.746031746031743
21649,100,2484.55,2204,45.37205081669691
21650,222,8666,296,750
21651,297,5999.56,2683,110.69698099142751
21652,249,5809.5,149,1671.1409395973153
21653,75,1085,96,781.25
21654,6312,175200.69,1221,5169.533169533169
21655,427,15772.760000000002,4763,89.64938064245223
21657,61,2836.7200000000003,727,83.90646492434662
21658,916,52629.99000000004,4177,219.29614555901364
21659,1,10,1509,0.6626905235255136
21660,722,14024.060000000001,4361,165.55835817473059
21661,1339,25956.929999999997,2695,496.84601113172545
21662,821,71666.80999999998,369,2224.932249322493
21663,3198,165478.48000000045,3715,860.8344549125169
21664,37,803,497,74.4466800804829
21665,141,8093.42,194,726.8041237113401
21666,3570,104492.80000000018,13463,265.17120998291614
21667,445,7539.389999999999,255,1745.0980392156862
21668,148,2688.7899999999995,1763,83.94781622234828
21669,146,4473.520000000004,114,1280.701754385965
21670,15,29,NA,NA
21671,397,13720.66,808,491.33663366336634
21672,6,92,149,40.26845637583892
21673,437,18756.350000000002,3019,144.7499171911229
21676,78,9237.36,367,212.53405994550408
21677,28,1214,579,48.359240069084635
21678,1059,22807.97999999999,1549,683.6668818592641
21679,213,5971.209999999999,272,783.0882352941177
21691,1,100,NA,NA
21701,24907,631639.1800000038,38390,648.7887470695493
21702,17174,430403.05999999936,41729,411.56030578254934
21703,8726,203219.95000000024,37048,235.53228244439646
21704,5672,213888.01000000007,16478,344.21653113241894
21705,449,9141.099999999999,4,112250
21706,1,10,NA,NA
21710,1509,45716.58000000003,4847,311.32659376934186
21711,30,741,1139,26.33889376646181
21713,1829,40567.68999999998,9979,183.28489828640144
21714,426,15300.23,179,2379.8882681564246
21715,93,4130,NA,NA
21716,2201,47591.569999999985,5453,403.6310287914909
21717,97,3016.26,126,769.8412698412699
21718,165,4618.8,167,988.0239520958085
21719,115,1636.0099999999998,1074,107.07635009310987
21720,48,1214,NA,NA
21721,4,63,NA,NA
21722,248,4822.030000000004,6389,38.81671623102207
21723,214,7010.54,648,330.24691358024694
21727,606,16539.529999999995,6965,87.00646087580762
21728,5,89,NA,NA
21730,4,300,NA,NA
21733,95,2380.62,988,96.15384615384616
21734,137,2700,840,163.0952380952381
21737,1141,42184.979999999996,2476,460.8239095315024
21738,2133,91235.83999999994,3861,552.4475524475524
21740,9084,156266.82999999897,60922,149.10869636584485
21741,26,1301,NA,NA
21742,9377,180980.25000000058,33425,280.5385190725505
21743,19,188.43,NA,NA
21748,3,112,NA,NA
21749,2,303,NA,NA
21750,1588,25647.73999999999,3787,419.32928439397944
21752,4,40,NA,NA
21753,9,294,NA,NA
21754,3459,99558.51999999967,7117,486.01939019249687
21755,2271,65008.77999999997,5745,395.30026109660577
21756,706,23079.649999999976,2912,242.44505494505495
21757,121,3157.34,2753,43.95205230657464
21758,1923,35589.54000000006,4616,416.59445407279026
21759,2,67,NA,NA
21762,127,4213.839999999999,131,969.4656488549617
21764,1,25,NA,NA
21765,225,2593.999999999999,NA,NA
21766,28,1177.77,660,42.42424242424243
21767,79,3614.5299999999997,694,113.8328530259366
21768,4,125,NA,NA
21769,3776,108657.45999999993,11868,318.16649814627567
21770,1985,51007.11,6145,323.026851098454
21771,8933,209328.0900000004,31366,284.7988267550851
21772,26,183,NA,NA
21773,1692,26795.68000000001,5404,313.10140636565507
21774,5176,144050.66000000012,13618,380.0851813775885
21775,20,1112,NA,NA
21776,1182,21786.809999999998,6137,192.60224865569498
21777,720,13418.099999999999,2067,348.3309143686502
21778,187,2955.6699999999983,930,201.07526881720432
21779,475,6884.26,1712,277.4532710280374
21780,227,6613.8499999999995,1864,121.78111587982833
21781,2,110,128,15.625
21782,1239,23007.480000000003,4348,284.95860165593376
21783,1072,22073.15,9637,111.23793711736018
21784,9655,257843.1300000003,36484,264.63655300953843
21785,28,1329,NA,NA
21786,1,5,NA,NA
21787,944,30285.629999999997,10194,92.60349225034334
21788,2817,109285.4999999998,12241,230.12825749530268
21789,1,100,NA,NA
21790,5,349.24,104,48.07692307692308
21791,1283,18969.599999999995,5080,252.55905511811022
21792,26,355,NA,NA
21793,2311,63179.49999999996,10477,220.57840985014795
21794,648,27815.850000000013,2191,295.7553628480146
21795,1602,25785.01000000001,9150,175.08196721311475
21797,3224,169015.33999999994,8558,376.72353353587283
21798,331,18457.95,2412,137.23051409618574
21801,4484,130242.52999999998,30122,148.86129739061153
